{ 2 JetEta JetPt 0 None ScaleFactor }
-5.191 -3.139 0 7000 3 1.377 1.308 1.446
-3.139 -2.964 0 79 3 1.000 1.000 1.000
-3.139 -2.964 79 99 3 1.098 1.043 1.153
-3.139 -2.964 99 122 3 1.200 1.140 1.260
-3.139 -2.964 122 194 3 1.333 1.266 1.400
-3.139 -2.964 194 240 3 1.408 1.338 1.478
-3.139 -2.964 240 273 3 1.435 1.363 1.507
-3.139 -2.964 273 300 3 1.449 1.377 1.521
-3.139 -2.964 300 365 3 1.464 1.391 1.537
-3.139 -2.964 365 400 3 1.475 1.401 1.549
-3.139 -2.964 400 500 3 1.485 1.411 1.559
-3.139 -2.964 500 7000 3 1.493 1.418 1.568
-2.964 -2.853 0 79 3 1.506 1.431 1.581
-2.964 -2.853 79 99 3 1.601 1.521 1.681
-2.964 -2.853 99 122 3 1.710 1.625 1.795
-2.964 -2.853 122 194 3 1.897 1.802 1.992
-2.964 -2.853 194 240 3 2.056 1.953 2.159
-2.964 -2.853 240 273 3 2.135 2.028 2.242
-2.964 -2.853 273 300 3 2.186 2.077 2.295
-2.964 -2.853 300 365 3 2.253 2.140 2.366
-2.964 -2.853 365 400 3 2.312 2.196 2.428
-2.964 -2.853 400 500 3 2.378 2.259 2.497
-2.964 -2.853 500 7000 3 2.453 2.330 2.576
-2.853 -2.650 0 7000 3 2.032 1.930 2.134
-2.650 -2.500 0 79 3 1.180 1.121 1.239
-2.650 -2.500 79 99 3 1.283 1.219 1.347
-2.650 -2.500 99 122 3 1.401 1.331 1.471
-2.650 -2.500 122 194 3 1.592 1.512 1.672
-2.650 -2.500 194 240 3 1.741 1.654 1.828
-2.650 -2.500 240 273 3 1.808 1.718 1.898
-2.650 -2.500 273 300 3 1.850 1.758 1.943
-2.650 -2.500 300 365 3 1.900 1.805 1.995
-2.650 -2.500 365 400 3 1.942 1.845 2.039
-2.650 -2.500 400 500 3 1.985 1.886 2.084
-2.650 -2.500 500 7000 3 2.030 1.928 2.131
-2.500 -2.322 0 7000 3 1.433 1.361 1.505
-2.322 -2.043 0 7000 3 1.232 1.170 1.294
-2.043 -1.930 0 7000 3 1.065 1.012 1.118
-1.930 -1.740 0 83 3 1.000 1.000 1.000
-1.930 -1.740 83 108 3 1.017 1.000 1.034
-1.930 -1.740 108 140 3 1.087 1.033 1.141
-1.930 -1.740 140 177 3 1.136 1.079 1.193
-1.930 -1.740 177 210 3 1.169 1.111 1.227
-1.930 -1.740 210 246 3 1.190 1.131 1.249
-1.930 -1.740 246 275 3 1.204 1.144 1.264
-1.930 -1.740 275 313 3 1.215 1.154 1.276
-1.930 -1.740 313 378 3 1.227 1.166 1.288
-1.930 -1.740 378 434 3 1.237 1.175 1.299
-1.930 -1.740 434 464 3 1.242 1.180 1.304
-1.930 -1.740 464 500 3 1.245 1.183 1.307
-1.930 -1.740 500 525 3 1.247 1.185 1.309
-1.930 -1.740 525 550 3 1.249 1.187 1.311
-1.930 -1.740 550 572 3 1.250 1.188 1.312
-1.930 -1.740 572 600 3 1.252 1.189 1.315
-1.930 -1.740 600 625 3 1.253 1.190 1.316
-1.930 -1.740 625 650 3 1.254 1.191 1.317
-1.930 -1.740 650 675 3 1.255 1.192 1.318
-1.930 -1.740 675 700 3 1.256 1.193 1.319
-1.930 -1.740 700 750 3 1.257 1.194 1.320
-1.930 -1.740 750 775 3 1.258 1.195 1.321
-1.930 -1.740 775 825 3 1.259 1.196 1.322
-1.930 -1.740 825 875 3 1.260 1.197 1.323
-1.930 -1.740 875 900 3 1.261 1.198 1.324
-1.930 -1.740 900 7000 3 1.263 1.200 1.326
-1.740 -1.305 0 7000 3 1.125 1.073 1.177
-1.305 -1.131 0 7000 3 1.023 1.000 1.046
