{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.2526 1.0000 1.5861
-3.139 -2.964 3 1.4399 1.2922 1.5876
-2.964 -2.853 3 1.8732 0.0172 3.7292
-2.853 -2.650 3 2.1004 1.8556 2.3451
-2.650 -2.500 3 1.5395 1.1593 1.9196
-2.500 -2.322 3 1.3748 1.2087 1.5409
-2.322 -2.172 3 1.1912 1.0859 1.2965
-2.172 -2.043 3 1.2419 1.1301 1.3537
-2.043 -1.930 3 1.1385 1.0000 1.2916
-1.930 -1.740 3 1.1537 1.0679 1.2395
-1.740 -1.566 3 1.1900 1.1318 1.2483
-1.566 -1.305 3 1.1815 1.0959 1.2671
-1.305 -1.044 3 1.0792 1.0321 1.1262
-1.044 -0.783 3 1.1287 1.1096 1.1478
-0.783 -0.522 3 1.1660 1.1357 1.1962
-0.522 -0.261 3 1.1846 1.1523 1.2169
-0.261 -0.000 3 1.1910 1.1604 1.2215
0.000 0.261 3 1.1823 1.1639 1.2006
0.261 0.522 3 1.1802 1.1620 1.1984
0.522 0.783 3 1.1662 1.1453 1.1872
0.783 1.044 3 1.1287 1.1096 1.1478
1.044 1.305 3 1.0792 1.0321 1.1262
1.305 1.566 3 1.1855 1.1690 1.2020
1.566 1.740 3 1.1900 1.1618 1.2183
1.740 1.930 3 1.1562 1.1231 1.1893
1.930 2.043 3 1.1455 1.1048 1.1861
2.043 2.172 3 1.2395 1.1976 1.2814
2.172 2.322 3 1.2008 1.1558 1.2459
2.322 2.500 3 1.3748 1.2387 1.5009
2.500 2.650 3 1.6595 1.5593 1.7596
2.650 2.853 3 1.9900 1.9300 2.0500
2.853 2.964 3 2.1800 2.0110 2.3490
2.964 3.139 3 1.4954 1.4197 1.5711
3.139 5.191 3 1.2640 1.1709 1.3570
